,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
159,5193.385650224215,223.0,departamento,3.0,3.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
160,7626.267281105991,217.0,departamento,3.0,3.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
161,5095.627802690583,223.0,departamento,3.0,3.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
162,4927.510917030568,229.0,departamento,3.0,3.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
163,6404.411764705882,272.0,departamento,3.0,3.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
164,6207.434944237918,538.0,departamento,4.0,4.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4351765,-99.2004541
165,5092.622950819672,183.0,departamento,3.0,3.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4352979099,-99.2004541
166,5426.712328767123,219.0,departamento,3.0,3.0,0.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43521697,-99.2004541
167,17241.379310344826,174.0,departamento,2.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
168,83333.33333333333,150.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4375033,-99.1949023
169,56478.40531561462,301.0,departamento,4.0,2.0,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4359961,-99.1980942
170,104888.88888888888,450.0,departamento,4.0,4.5,4.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
171,59036.14457831325,83.0,departamento,2.0,2.5,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
172,60144.92753623189,138.0,departamento,2.0,3.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4377338,-99.1926309
173,81081.08108108108,185.0,departamento,2.0,2.5,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
174,9430.255402750492,509.0,departamento,3.0,4.5,3.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
175,,0.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4340199,-99.1956012
176,48700.0,136.0,departamento,2.0,1.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
177,83333.33333333333,150.0,departamento,3.0,3.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.432442648205,-99.199871253967
178,68461.53846153847,130.0,departamento,2.0,2.0,1.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
179,91200.0,140.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.4360517,-99.192346
180,68333.33333333333,60.0,departamento,1.0,1.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.43475,-99.19081
181,65833.33333333333,180.0,departamento,3.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
182,119180.32786885246,305.0,departamento,2.0,2.0,2.0,POLANCO REFORMA (POLANCO),MIGUEL HIDALGO,19.433333,-99.2
