,Unnamed: 0,precio_m2,superficie_total,categoria,dormitorios,baños,cocheras,colonia,alcaldia,lat,lng
6104,6104,61176.470588235294,85.0,departamento,2.0,2.0,2.0,CUADRANTE DE SAN FRANCISCO,COYOACAN,19.3447021,-99.1662297
3789,3789,61250.0,160.0,departamento,2.0,2.0,2.0,HIPODROMO II,CUAUHTEMOC,19.4069266,-99.1770264
5709,5709,61450.28735632184,87.0,departamento,2.0,2.0,2.0,ROMA SUR I,CUAUHTEMOC,19.4115632,-99.1605358
5810,5810,61417.32283464567,127.0,departamento,2.0,2.0,2.0,NARVARTE IV,BENITO JUAREZ,19.3924559,-99.1498984
4816,4816,61111.11111111111,117.0,departamento,2.0,2.0,2.0,NAPOLES,BENITO JUAREZ,19.39337,-99.17733
3512,3512,63265.08838383838,79.2,departamento,2.0,2.0,2.0,PASEO DE LAS LOMAS-SAN GABRIEL,ALVARO OBREGON,19.379792,-99.252902
728,728,61052.63157894737,95.0,departamento,2.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.44379909037846,-99.20253872963131
5139,5139,46771.628787878784,132.0,departamento,2.0,2.0,2.0,CIUDAD DE LOS DEPORTES,BENITO JUAREZ,19.38365,-99.18087
731,731,69565.21739130435,115.0,departamento,3.0,2.0,2.0,GRANADA (AMPL),MIGUEL HIDALGO,19.442722353724008,-99.20123468161464
4289,4289,40884.89208633093,139.0,departamento,3.0,2.0,2.0,LAS AGUILAS (AMPL),ALVARO OBREGON,19.3474943,-99.220556
8392,8392,23314.28571428572,175.0,casa,4.0,2.0,2.0,JUSTO SIERRA,IZTAPALAPA,19.3653,-99.136
4300,4300,14285.714285714286,294.0,casa,3.0,2.0,2.0,LAS AGUILAS (AMPL),ALVARO OBREGON,19.35183,-99.21732
3125,3125,59666.66666666666,90.0,departamento,3.0,2.0,2.0,DEL VALLE III,BENITO JUAREZ,19.389164,-99.167668
8966,8966,14961.24031007752,129.0,casa,3.0,2.0,2.0,EL CAPULIN,ALVARO OBREGON,19.39682,-99.2134
5443,5443,43649.0813648294,140.97,departamento,3.0,2.0,2.0,DEL VALLE I,BENITO JUAREZ,19.39662,-99.16479
6384,6384,14726.0375,160.0,casa,3.0,2.0,2.0,GRANJAS MODERNAS-SAN JUAN DE ARAGON (AMPL),GUSTAVO A. MADERO,19.47997,-99.10075
