,price,square_meters,bedrooms,bathrooms,parking_spaces,address,description,colony,latitude,longitude
918,28870000,796,3,4+,4+,JARDINES DEL PEDREGAL,MAGNIFICA CASA IMPECABLE EN CALLE CERRADA EN PEDREGAL,JARDINES DEL PEDREGAL,19.3059286486,19.3059286486
919,2133548,124,3,3,2,STA URSULA XITLA,CASA EN RESIDENCIAL CON SPORTS CLUB Y PISCINA CERCA DE CDMX SUR(CUERNAVACA),,,
920,2420000,0,2,2,1,NATIVITAS,DEPARTAMENTO EN VENTA EN NATIVITAS,NATIVITAS,19.3816589097,19.3816589097
921,22790000,337,3,4+,3,LOS FRAMBOYANES,"CASA EN VENTA, LOMAS DEL PEDREGAL, CERCA DE PLAZA ARTZ",LOMAS DEL PEDREGAL,19.2738916573,19.2738916573
922,3083573,105,2,2,1,ZACAHUITZCO,"DEPARTAMENTOS EN PREVENTA EN LOURDES 50, COLONIA ZACAHUITZO, 2 RECAMARAS",ZACAHUITZCO,19.3744993934,19.3744993934
923,3623374,76,2,2,1,ZACAHUITZCO,"DEPARTAMENTOS EN PREVENTA EN LOURDES 50, COLONIA ZACAHUITZO, 2 RECAMARAS",ZACAHUITZCO,19.3744993934,19.3744993934
924,6250000,0,3,2,2,STA CRUZ ATOYAC,"DEPTO. EN VENTA CITY TOWERS GREEN, COL. SANTA CRUZ ATOYAC",STA CRUZ ATOYAC,19.3681589306,19.3681589306
925,7500000,0,3,2,2,JUAREZ,"DEPTO. EN VENTA, CON TERRAZA INTERIOR, COL. JUAREZ, CERCA REFORMA",JUAREZ,19.4270038256,19.4270038256
926,1650000,54,2,1,1,SANTA ROSA,SE VENDE DEPARTAMENTO A ESTRENAR,SANTA ROSA,19.5234517826,19.5234517826
927,9950000,248,3,2,2,COL DEL VALLE CENTRO,"SE VENDE CASA EN CONDOMINIO EN LA DEL VALLE CENTRO, SUPER PRECIO",,,
928,5100000,189,3,2,2,SAN JUAN TEPEPAN,CASA EN VENTA TEPEPAN ILUMINADA,SAN JUAN,19.3783640536,19.3783640536
929,3250000,0,2,1,1,JAMAICA,VENTA DEPARTAMENTO EN COL SAN RAFAEL (CUAUHTEMOC),CUAUHTEMOC,19.3200700913,19.3200700913
930,6410000,133,1,1,1,ESCANDON I SECC,"DEPARTAMENTO EN VENTA EN PROGRESO 40, COL. ESCANDON I SECCION, 1 RECAMARA.",ESCANDON I,19.4040332209,19.4040332209
931,3100000,76,3,2,2,COL DEL GAS,"DEPARTAMENTO EN VENTA EN PARQUE JARDIN, COL. DEL GAS, 3 RECAMARAS.",DEL GAS,19.4703443076,19.4703443076
932,3100000,93,3,3,2,COL DEL GAS,"DEPARTAMENTO EN VENTA EN PARQUE JARDIN, COL. DEL GAS, 3 RECAMARAS.",DEL GAS,19.4703443076,19.4703443076
933,3100000,114,3,3,2,COL DEL GAS,"DEPARTAMENTO EN VENTA EN PARQUE JARDIN, COL. DEL GAS, 3 RECAMARAS.",DEL GAS,19.4703443076,19.4703443076
934,3100000,75,3,2,2,COL DEL GAS,"DEPARTAMENTO EN VENTA EN PARQUE JARDIN, COL. DEL GAS, 3 RECAMARAS.",DEL GAS,19.4703443076,19.4703443076
935,24193459,322,3,4+,4+,SAN MATEO TLALTENANGO,"DEPARTAMENTO EN VENTA EN EDIFICIO BASALTO, CUMBRES DE SANTA FE, 3 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
936,24891930,318,3,4+,4+,SAN MATEO TLALTENANGO,"DEPARTAMENTO EN VENTA EN EDIFICIO BASALTO, CUMBRES DE SANTA FE, 3 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
937,17112637,214,2,3,0,SAN MATEO TLALTENANGO,"DEPARTAMENTO EN VENTA EN EDIFICIO BASALTO, CUMBRES DE SANTA FE, 2 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
938,24084873,304,3,4+,4+,SAN MATEO TLALTENANGO,"DEPARTAMENTO EN VENTA EN EDIFICIO BASALTO, CUMBRES DE SANTA FE, 3 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
939,31701726,529,3,4+,4+,SAN MATEO TLALTENANGO,"DEPARTAMENTO EN VENTA EN EDIFICIO BASALTO, CUMBRES DE SANTA FE, 3 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
940,24395658,322,3,4+,4+,SAN MATEO TLALTENANGO,"DEPARTAMENTO EN VENTA EN EDIFICIO BASALTO, CUMBRES DE SANTA FE, 3 RECAMARAS.",SAN MATEO,19.483157965,19.483157965
941,2441787,90,2,2,1,PERALVILLO,"DEPARTAMENTO EN VENTA EN SCHUBERT 230,  COL.PERALVILLO, PH CON 2 RECAMARAS",,,
942,2280000,80,3,1,1,LA JOYA,"DEPARTAMENTO ENTRE VIADUCTO, CALZADA DE TLALPAN Y AVENIDA INSURGENTES CERCANO A LA ALCALDIA, GRAN...",LA JOYA,19.3847079384,19.3847079384
943,5795000,0,2,2,1,ROMA NTE.,"DEPARTAMENTO EN VENTA, DE 2 RECAMARAS EN ROMA SUR",,,
